Calories,Carbs,Description,Fat,Image,Ingredients,Protein,Title,link
265,5 g,"This recipe is family and figure friendly. Even the most skeptical fish eaters won't turn their nose up at this dish. Salmon is packed with protein, healthy fats, and is basically carb-free. Try this recipe with organic brown rice or quinoa and vegetables.",15 g,cajun-spiced-salmon-header-960x540.jpg,"4 fillet salmon fillet;1 tbsp cumin;1 tbsp coriander;1 tbsp garlic, minced;2 tbsp paprika;1 tsp, ground pepper;1 tbsp, ground thyme;1 tsp, ground oregano;2 tbsp extra virgin coconut oil;1 salt and pepper to taste",27 g,Cajun Spiced Salmon,https://www.bodybuilding.com/recipes/cajun-spiced-salmon
615,20 g,"This high protein, lower carb recipe is sure to please and won't weigh you down for the rest of the evening.",45 g,chocolate-crepes-with-strawberries-recipe-028-header-960x540.jpg,"1 scoop(s) chocolate protein powder;4 large egg whites;1 cup, fluid (yields 2 cups whipped) heavy whipping cream;1 tsp vanilla extract;¼ scoop vanilla caramel protein powder;2 cup strawberries;½ scoop(s) vanilla whey protein powder",33 g,Chocolate Crepes with Strawberries,https://www.bodybuilding.com/recipes/chocolate-crepes-with-strawberries
452,45 g,A delicious recipe with venison and parsnips.,16 g,5-clean-pre-contest-meals-venison-chili-header-960x540.jpg,"5 whole parsnips, medium, peeled and sliced;2 tbsp smart Balance light buttery spread;1 tsp fresh rosemary;½ small onion, diced;1 salt and pepper to taste;8 oz ground venison;½ whole red onion, diced;1 tbsp chili powder",33 g,Venison Chili with Parsnips,https://www.bodybuilding.com/recipes/venison-chili-with-parsnips
197,7 g,Enjoy this delicious recipe for hot cod,4 g,5-clean-pre-contest-meals-hot-cod-header-960x540.jpg,"12 oz cod atlantic;1 tsp chili powder;1 tsp table salt;2 cup cherry tomatoes;4 whole jalapeno pepper, diced;1 tsp coconut oil",32 g,Hot Cod,https://www.bodybuilding.com/recipes/hot-cod
603,29 g,"IFBB Bikini pro Nicole Moneer eats clean all year so she never has to diet hard before a show. Try this easy, delicious, and nutritious meal!",41 g,pork-pear-and-greens-header-960x540.jpg,"6 oz ground pork, antibiotic- and hormone-free;1 cup 1  pieces, loosely packed kale;1 pear, sliced;1 tsp pumpkin seed oil;1 tsp balsamic vinegar;1 pinch himalayan rock salt",30 g,"Pork, Pear, And Greens",https://www.bodybuilding.com/recipes/pork-pear-and-greens
321,7 g,A delicious veal and green salad.,16 g,5-clean-pre-contest-meals-field-of-greens-header-960x540.jpg,6 oz veal;1 tsp table salt;1 tbsp chopped chives;3 cup shredded romaine lettuce;1 tbsp balsamic vinegar;1 tbsp macadamia oil,37 g,Field of Greens,https://www.bodybuilding.com/recipes/field-of-greens
242,10 g,"Not only does this meal look and taste great, but it is also perfect for the bodybuilder; it is high in protein and low in fat. Enjoy!",6 g,grilled-chicken-asparagus-rolls-header-960x540.jpg,1 piece chicken breast;2 whole asparagus spears;2 strip turkey bacon;1 tsp dijon mustard;1 tbsp honey,36 g,Grilled Chicken Asparagus Rolls,https://www.bodybuilding.com/recipes/grilled-chicken-asparagus-rolls
195,33 g,This shrimp-based salad is perfect for the seafood lover looking to lighten up their diet and boost their vitamin and antioxidant intake. It's loaded with nutrients; you can't go wrong!,1 g,tomato-and-shrimp-salad-header-960x540.jpg,"1 cup cucumber, thinly sliced;1 tomatoes, sliced;¼ cup red onion, sliced;1 yellow pepper, sliced;½ cup baby corn;30 shrimp small shrimp, peeled and deveined;1 oz fat-free mozzarella cheese;¼ cup fat-free mayonnaise;1 tbsp white vinegar;½ tsp dijon mustard;2 tbsp splenda;½ tsp garlic, minced;salt and pepper to taste",16 g,Tomato And Shrimp Salad,https://www.bodybuilding.com/recipes/tomato-and-shrimp-salad
503,9 g,"This refreshing spring salad recipe is loaded with protein both from the chicken breast and the goat cheese, so it is perfect for those who are looking to boost their protein intake.",36 g,strawberry-and-feta-cheese-salad-header-960x540.jpg,"½ cup strawberries, sliced;2 cup spinach;¾ oz pecans, chopped;2 oz reduced-fat feta cheese;6 oz chicken breast, shredded;⅛ cup lemon juice;¼ tsp dijon mustard;3 tbsp olive oil;1 tbsp poppy seeds",34 g,Strawberry And Feta Cheese Salad,https://www.bodybuilding.com/recipes/strawberry-and-feta-cheese-salad
70,7 g,A great soy protein breakfast pancake recipe.,0 g,berry-protein-pancakes-header-960x540.jpg,"1 scoop soy protein isolate;3 large egg whites;½ cup oatmeal, cooked;10 berries blueberries;1 tsp splenda",10 g,Berry Protein Pancakes,https://www.bodybuilding.com/recipes/berry-protein-pancakes
319,8 g,A great soy protein and turkey egg quiche recipe.,4 g,turkey-egg-quiche-header-960x540.jpg,"3 tsp garlic, minced;1 small green bell pepper;1 cup onion, finely chopped;½ cup spinach;2 lb ground 99% fat-free turkey breast;3 cup liquid egg whites;1 scoop soy protein isolate",64 g,Turkey Egg Quiche,https://www.bodybuilding.com/recipes/turkey-egg-quiche
338,42 g,"Hands down, this is one of my favorite meals. It's a super easy way to get your daily dose of veggies, and it's easily customizable so you can really make the meal your own. Go seasonal with your farmer's market faves or put a new spin on flavor by mixing in different spices.",4 g,bbq-chicken-wrapped-asparagus-header-960x540.jpg,"3 oz chicken breast, thinly cut;12 asparagus spears;2 tbsp low-sodium barbecue sauce;1 tsp cumin;1 tsp paprika;1 tsp garlic powder;1 tsp, ground black pepper;1 cup, sliced green bell pepper;½ cup brown rice",34 g,BBQ Chicken Wrapped Asparagus,https://www.bodybuilding.com/recipes/bbq-chicken-wrapped-asparagus
198,27 g,"The zesty Asian flair of this burger will make you a tofu believer! Savor the pairing of caramelized onions with spicy chili flakes and Sriracha, all supported by the sweet smokiness of Teriyaki marinade. If you need any further convincing, tofu contains all of the essential amino acids and packs in 6 grams of protein per 3 oz. serving.",4 g,teriyaki-tofu-burger-header-960x540.jpg,"6 oz tofu, firm;1 tbsp teriyaki, sauce, reduced sodium;1 tbsp sriracha;1 tsp crushed red pepper flakes;¼ red onion, sliced;¼ cup strips or slices carrots, sliced;2 leaf, large lettuce (butterhead);2 flatbread flat Out sandwich wraps",13 g,Teriyaki Tofu Burger,https://www.bodybuilding.com/recipes/teriyaki-tofu-burger
336,17 g,"If you're a fan of sushi, this salad will be a home run. Seared ahi tuna forms the protein source in this dish and will blend great with the other flavors in the dish.",18 g,8-light-spring-salads-6-header-960x540.jpg,"½ tbsp olive oil;2 cup salad greens;½ whole mango;¼ cup, shelled peanuts salted;½ cup, pureed avocado;1 tbsp lime juice;½ tsp balsamic vinegar;¼ cup cilantro;1 6 oz ahi tuna",25 g,Ahi Tuna Salad,https://www.bodybuilding.com/recipes/ahi-tuna-salad
380,51 g,"This is a staple meal in my home state of Texas. One of the best things about chili is you can make it your own by tossing in your favorite veggies and protein. It's virtually impossible to screw this meal up, but, if you do ... well, just don't tell anyone.",4 g,spicy-turkey-chili-header-960x540.jpg,"5 oz ground 99% fat-free turkey breast;¾ cup low-sodium black beans;½ cup corn;1 packet mcCormick less sodium chili seasoning;⅓ cup tomato paste;⅓ cup diced tomatoes;¼ cup fresh basil leaves;1 jalapeno pepper, diced;½ tbsp paprika;½ tbsp cumin;½ tbsp cayenne pepper",34 g,Spicy Turkey Chili,https://www.bodybuilding.com/recipes/spicy-turkey-chili
326,28 g,"Well, it's not your mom's homestyle chicken noodle soup, but it does the trick when you're pressed for cash and low on fitness fuel. All you need to do is purchase a rotisserie chicken from your local grocery store, remove the skin, and boom! You have instant, delicious protein for several meals.",6 g,rotisserie-chicken-noodle-pasta-bake-header-960x540.jpg,"4 oz chicken, rotisserie, chopped;⅓ cup shells whole-wheat pasta;½ cup low-sodium chicken broth;1 tbsp nonfat plain Greek yogurt;¼ cup chopped carrots;¼ cup stalk celery, finely diced;¼ cup mushrooms, sliced;½ bunch flat-leaf parsley;1 tsp cumin;1 dash black pepper;1 tsp garlic powder;1 tsp onion powder;1 tsp Mrs Dash",41 g,Rotisserie Chicken Noodle Pasta Bake,https://www.bodybuilding.com/recipes/rotisserie-chicken-noodle-pasta-bake
398,40 g,"Hands down, this is one of my favorite meals! Penny-pinching or not, this meal should be a part of your regular diet. You'll likely never approach eating chicken and rice the same.",5 g,grilled-chicken-with-pineapples-and-bell-peppers-header-960x540.jpg,"5 oz chicken breast;1 tbsp mustard;½ cup basmati rice;½ cup, chunks pineapple;½ cup, chopped green bell pepper;1 tsp cumin;1 pinch table salt;1 dash black pepper",48 g,Grilled Chicken With Pineapples And Bell Peppers,https://www.bodybuilding.com/recipes/grilled-chicken-with-pineapples-and-bell-peppers
236,17 g,"Every time I feel a ""squeeze"" on my wallet, I turn to my personal ol' faithful—canned or packaged tuna. Tuna is not only affordable, but it's also a good, lean protein source whether you're cutting or bulking. Just sneak into your parents' house and ""borrow"" a few spices, and you can crank up that tuna salad to the next level.",2 g,curry-tuna-salad-with-brown-rice-cakes-header-960x540.jpg,"2 can tuna, canned in water;2 brown rice cake;1½ tbsp nonfat plain Greek yogurt;1 lemon yields lemon juice;3 slice, thick/large (1/2  thick) tomatoes;1 cup lettuce;1 tbsp curry powder;1 pinch table salt;1 tsp, ground black pepper;1 tsp garlic powder",36 g,Curry Tuna Salad With Brown Rice Cakes,https://www.bodybuilding.com/recipes/curry-tuna-salad-with-brown-rice-cakes
246,32 g,"Indulge in nature's burger! The thick, meaty texture of portobella mushrooms makes it a favorite among meat lovers and vegetarians alike. This shroom also offers an antioxidant blast on par with far more famous vegetables, and at a minimal calorie cost: One cup only has 42 calories. Fire up the fungus!",7 g,grilled-portobello-and-zucchini-burger-header-960x540.jpg,"2 portabella mushroom caps;½ zucchini, sliced;½ cup red pepper, roasted, thinly sliced;2 slice (1 oz) low fat cheese;½ cup spinach;4 slice whole-wheat sandwich thins",14 g,Grilled Portobella And Zucchini Burger,https://www.bodybuilding.com/recipes/grilled-portobella-and-zucchini-burger
331,29 g,"Pack in the omega-3 fatty acids with this tangy, flavorful fish dish! Not only is salmon low in fat and calories, but one 4 oz. serving has 24 grams of protein. Top with sautéed onions and yogurt dill sauce for that perfect hot-cold combination!",9 g,salmon-burger-with-onions-and-dill-sauce-header-960x540.jpg,"8 oz salmon fillet;¼ tsp mesquite seasoning;¼ red onion, sliced;1 cup arugula, raw;¼ cup nonfat plain Greek yogurt;1 tsp dill;4 slice whole-wheat sandwich thins",34 g,Salmon Burger With Sautéed Onions & Yogurt Dill Sauce,https://www.bodybuilding.com/recipes/salmon-burger-with-sauteed-onions-and-yogurt-dill-sauce
344,28 g,"Chicken is a great source of lean, high-quality protein. Add in roasted red pepper, feta cheese, and arugula, and you've got a meal that's not only high in protein, potassium, and antioxidants, but also offers a mouthful of savory Mediterranean flavors.",13 g,ground-chicken-burger-with-feta-header-960x540.jpg,"1 lb ground chicken;½ cup reduced-fat feta cheese;¼ cup red pepper, roasted, thinly sliced;1 tomatoes, sliced;¼ cup fresh basil leaves;salt and pepper to taste;8 slice whole-wheat sandwich thins",28 g,"Chicken Burger Topped With Feta, Roasted Red Bell Pepper & Arugula",https://www.bodybuilding.com/recipes/chicken-burger-topped-with-feta-roasted-red-bell-pepper-and-arugula
324,16 g,"One of my mottos: ""No boring food. Ever."" That's especially true for salads. Spruce up that lowly bed of lettuce with good-for-you protein and fresh, raw veggies. In the right amount they can be satisfying, filling, and supply your body with the needed vitamins, antioxidants, and enzymes to aid in digestion, heart function, and overall health.",11 g,sesame-tahini-shrimp-and-zucchini-pasta-salad-header-960x540.jpg,"6 oz shrimp;1 whole zucchini, sliced;1½ cup, sliced red bell pepper;1 tbsp tahini paste;½ tbsp sesame seeds",40 g,Sesame Tahini Shrimp And Zucchini Linguine Pasta Salad,https://www.bodybuilding.com/recipes/sesame-tahini-shrimp-and-zucchini-linguine-pasta-salad
773,90 g,Time to dust off your muffin pan! Steer clear of sugary carbs and use your baking tray for good with this easy meal you'll prep in virtually no time at all. Add your own swag and flavor with optional seasonings like olive tapenade and fruit.,19 g,turkey-meatloaf-with-spinach-and-whole-wheat-pearl-header-960x540.jpg,"5 oz ground 99% fat-free turkey breast;¾ cup red onion, diced;⅓ cup marinara sauce;1 cup spinach;1 tsp parsley, dried;1 tsp, ground basil, dried;1 tsp garlic powder;1 tsp onion powder;1 dash coriander;salt and pepper to taste;½ cup couscous, whole-grain;1 tbsp olive oil",60 g,Turkey Meatloaf With Spinach And Whole Wheat Pearl,https://www.bodybuilding.com/recipes/turkey-meatloaf-with-spinach-and-whole-wheat-pearl
208,9 g,"This is a great dish to prepare family style on a big platter for everyone to share. It's bursting with Mediterranean flavors and has become a new favorite of mine. Use fresh fish! For a complete meal, serve it with brown rice.",9 g,global-feast-5b-header-960x540.jpg,"1 lb cod atlantic;4 medium whole (2-3/5  dia) tomatoes;2 tbsp olive oil;6 olive green olives;3 tbsp, drained capers, canned;1 Tbsp garlic, chopped;1 whole diced red bell pepper;½ whole onion, sliced;¼ cup chicken bone broth;1 salt and pepper to taste;1 cup spinach",24 g,Mediterranean Fish,https://www.bodybuilding.com/recipes/mediterranean-fish
283,18 g,"Sushi is my usual meal option when I'm dining out because I can usually stick with simple, clean sashimi, substitute brown rice, or have cucumber-wrapped rolls. I was determined to recreate a sushi bowl at home on my low-carb day, and this little recipe was the result. Even the rice-lover at home was impressed by the cauliflower ""rice."" The key is to add some zesty flavors to the cauliflower when making the rice—it's much more palatable that way.",15 g,japanese-sushi-bowl-header-960x540.jpg,"6 oz salmon, smoked;½ head cauliflower, chopped;¼ cup carrot, shredded;1 avocado;½ cucumber, chopped;½ tsp garlic powder;½ tsp cayenne pepper;1 tbsp light soy sauce;1 tbsp lime juice;2 sheet seaweed sheets",20 g,Japanese Sushi Bowl,https://www.bodybuilding.com/recipes/japanese-sushi-bowl
324,11 g,"One of my all-time favorite summer salads is this Thai Spicy Beef Salad. It's clean, fresh, and loaded with flavor! So fire up the grill and impress your meat-loving guests with this zesty, protein-packed salad.",15 g,thai-spicy-beef-salad-header-960x540.jpg,"½ lb sirloin steak, about 1 inch thick;salt and pepper to taste;4 cup mixed salad greens;⅛ cup mint leaves;⅛ cup fresh basil leaves, chopped;⅛ cup cilantro;2 green onion, chopped;½ tsp lemongrass, finely chopped;1 tsp light soy sauce;1 tsp crushed red pepper flakes;2 tsp fish sauce;½ tsp powdered Stevia",37 g,Thai Spicy Beef Salad,https://www.bodybuilding.com/recipes/thai-spicy-beef-salad
289,22 g,"Singapore's national signature dish is chicken rice. To most dieters and competitors, this recipe probably sounds bland and all too familiar. But Singapore chicken rice has one special component: the sauce. The yummy sauce ties all the ingredients together and sets the recipe apart from your usual chicken and rice fare. I took a crack at this recipe, thanks to my stepmom, and I came up with an even healthier version with a few minor adjustments.",5 g,global-feast-2b-header-960x540.jpg,"2 piece chicken breast;1 cucumber (8-1/4 ) cucumber, chopped;1 cup brown rice;1 cup chicken bone broth;4 Tbsp garlic, chopped;4 tbsp ginger, minced;½ tbsp sesame seed oil;3 tbsp light soy sauce;1 tsp sriracha",39 g,Singapore Chicken Rice,https://www.bodybuilding.com/recipes/singapore-chicken-rice
162,10 g,"This is a highly requested dish in my family. I love coming home to the smells of garlic, Malaysian curry, steaming-hot coconut milk, and prawns. Prawns are high in protein and low in fat. Pair them with some brown rice and steamed veggies for a balanced and very tasty meal.",10 g,malaysian-curry-prawns-header-960x540.jpg,"½ lb prawns;1 tbsp coconut oil;1 Tbsp garlic, chopped;1½ cup lite coconut milk;1 tbsp curry powder;salt and pepper to taste",9 g,Malaysian Curry Prawns,https://www.bodybuilding.com/recipes/malaysian-curry-prawns
519,60 g,"If I could only prep 3 meals per week, they'd definitely be breakfast, lunch, and my post-workout meal. The last thing you want after an amazing training session is to be unprepared. Use this post-workout meal—full of vitamins B, E, iron, and antioxidants—to refuel your body, replenish nutrients, and aid in muscle building and recovery.",14 g,spicy-steak-kabobs-with-sweet-potato-header-960x540.jpg,"5 oz flank steak;1 sweet potato;1 zucchini, sliced;1 green bell pepper;⅛ cup blueberries;1 tbsp almonds, slivered;1 tbsp honey",37 g,Spicy Flank Steak Kabobs With Sweet Potato,https://www.bodybuilding.com/recipes/spicy-flank-steak-kabobs-with-sweet-potato
690,12 g,"Don't be fooled by the looks of this meal. Between the eggs, yogurt, and fish, it packs quite a protein punch. Eat it for breakfast or lunch, and I guarantee you'll feel energized to attack your daily workouts.",30 g,stuffed-muscle-eggs-with-pita-bread-header-960x540.jpg,"1 can drained solids (total) canned salmon;2 hard-boiled egg;1 tbsp nonfat plain Greek yogurt;1 leaf lettuce;5 cherry tomatoes;½ pita, small (4  dia) whole-Wheat Pita Bread;1 tbsp goat cheese;1 tbsp mustard",92 g,Stuffed Muscle Eggs With Pita Bread,https://www.bodybuilding.com/recipes/stuffed-muscle-eggs-with-pita-bread
265,25 g,"You 'mirin?! Well, if not, you should. Wild game is a fantastic protein source that's generally much lower in fat than beef and is often a better source of iron, zinc, and omega-3 fatty acids. Not sure how to cook that gamey meat? Mix it with some black beans and a little salsa, stuff it in a bell pepper, and BOOM—certified muscle-building meal.",6 g,game-and-black-bean-stuffed-bell-peppers-header-960x540.jpg,"6 oz wild game meat;½ cup low-sodium black beans;2 red bell pepper;4 tbsp salsa;2 tbsp goat cheese;1 tsp parsley, dried;¼ cup brown rice",27 g,Wild Game And Black Bean Stuffed Bell Peppers,https://www.bodybuilding.com/recipes/wild-game-and-black-bean-stuffed-bell-peppers
312,30 g,A soy protein triple berry custard recipe.,0 g,triple-berry-custard-header-960x540.jpg,1 cup nonfat plain Greek yogurt;½ cup mixed berries;1 scoop soy protein isolate,47 g,Triple Berry Custard,https://www.bodybuilding.com/recipes/triple-berry-custard
345,14 g,"This recipe also provides an excellent balance of quality proteins and healthy fats to keep you satisfied throughout the day, without overdoing it on the carbohydrate count.",19 g,8-light-spring-salads-5-header-960x540.jpg,"2 cup baby spinach;½ cup, pureed avocado;1 cup arugula, raw;¼ tbsp sunflower seeds;⅛ cup dried cranberries;6 oz chicken breast;2 tbsp lemon juice;1 tsp garlic, minced;1 tsp dijon mustard;1 tbsp avocado oil",29 g,Chicken Avocado Spinach Salad,https://www.bodybuilding.com/recipes/chicken-avocado-spinach-salad
276,8 g,"This spinach salad recipe is loaded with protein and healthy fats, making it the perfect option for people who follow a lower-carbohydrate diet plan.",10 g,creamy-salmon-spinach-salad-header-960x540.jpg,"2 cup spinach;½ cup mushrooms, sliced;1 can drained solids (total) canned salmon;4 tbsp fat-free mayonnaise;1 tbsp low-fat parmesan cheese;2 tbsp walnut, pieces",39 g,Creamy Salmon Spinach Salad,https://www.bodybuilding.com/recipes/creamy-salmon-spinach-salad
450,38 g,"This salad is more energy dense but still lighter than a traditional winter meal. Corn constitutes the healthy carbs in this recipe; avocado adds the healthy fats. Ground turkey provides the protein to round out the dish, adding plenty of flavor.",14 g,corn-and-turkey-salad-header-960x540.jpg,"8 oz ground 99% fat-free turkey breast;⅛ cup low-sodium chicken broth;½ cup shredded romaine lettuce;1 cup corn;1 avocado;½ cup cucumber, thinly sliced;½ cup salsa",42 g,Corn and Turkey Salad,https://www.bodybuilding.com/recipes/corn-and-turkey-salad
223,12 g,This cucumber salad works great as a light lunch while you're at your desk. It offers a unique flavor that will be sure to please.,7 g,creamy-turkey-salad-header-960x540.jpg,"8 oz turkey breast, white meat;2 cup cucumber, thinly sliced;1 stalk celery, finely diced;¼ cup fat-free mayonnaise;⅛ cup skim milk;1 tbsp apple cider vinegar;2 tbsp poppy seeds",29 g,Creamy Turkey Salad,https://www.bodybuilding.com/recipes/creamy-turkey-salad
226,20 g,"This recipe is full of fiber, antioxidants, calcium, and will help to provide you with a good dose of lean protein to support your lean mass-building goals.",3 g,broccoli-and-chicken-salad-header-960x540.jpg,"1 cup broccoli;1 red bell pepper, sliced;½ cup mandarin oranges, drained;2 cup spinach;6 oz chicken breast, shredded;⅛ cup orange juice, fresh squeezed;1 tsp lemon juice;1 tsp red wine vinegar;1 tsp dijon mustard",29 g,Broccoli And Chicken Salad,https://www.bodybuilding.com/recipes/broccoli-and-chicken-salad
79,4 g,"Shrimp, shrimp, shrimp—we love shrimp! If you're looking to pack your palate with a little protein, this is your go-to side. Shrimp is low in calories, high in protein, and boasts 18 vitamins and minerals. It's also almost completely carb-free. Reap the benefits!",3 g,shrimp-ceviche-header-960x540.jpg,"½ lb small shrimp, peeled and deveined;½ cup cherry tomatoes;¼ red onion, sliced;¼ cup cilantro;½ avocado;2 tbsp lime juice;salt and pepper to taste",9 g,Shrimp Ceviche,https://www.bodybuilding.com/recipes/shrimp-ceviche
100,13 g,"This salad is easy on your waistline and also benefits your overall health, since both veggies contain healthy plant chemicals and fiber. Not sweet enough? Add a little agave nectar. It's a great alternative to high fructose corn syrup.",5 g,citrus-summer-slaw-header-960x540.jpg,"1 carrot, shredded;6 radishes, greens removed;1 cucumber, thinly sliced;¼ cup cilantro;1 tsp olive oil;1 tbsp apple cider vinegar;1 tbsp lime juice;1 tsp agave syrup;salt and pepper to taste",1 g,Cucumber Radish Salad,https://www.bodybuilding.com/recipes/cucumber-radish-salad
154,32 g,"If the Colonel's famous slaw keeps showing up at the neighborhood feast, it's time to make a change. Confect this citrus summer slaw instead. The assortment of fruits and veggies make this recipe light and summery. If you prefer oranges to grapefruit, make the switch. Both fruits pack a punch of vitamins C and A, as well as potassium and calcium. Just avoid the bucket of fried chicken and your beach body will not be bested.",1 g,cucumber-radish-salad-header-960x540.jpg,"½ cabbage;½ red onion, diced;1 tomato, diced;1 cucumber, chopped;½ medium (approx 2-3/4  long, 2-1/2 dia.) red bell pepper, chopped;1 grapefruit;2 tbsp rice vinegar;½ tbsp dijon mustard;1 tsp powdered Stevia;salt and pepper to taste",5 g,Citrus Summer Slaw,https://www.bodybuilding.com/recipes/citrus-summer-slaw
107,9 g,"What's the ingredient for the ultimate chef? Fish sauce! Add a little savory succulence with this Eastern seasoning staple. Although it sounds fishy, this salad is as delicious as it is nutrient-dense. Rich in vitamins and minerals such as C, K, E, B, and potassium, a little avocado goes a long way. This side dish is a great alternative to other thigh-curdling barbecue must-haves.",6 g,hearts-of-palm-and-avocado-salad-header-960x540.jpg,"16 oz hearts of palm, canned;1 avocado;½ cup cherry tomatoes;¼ cup cilantro;1 tbsp lime juice;½ tbsp fish sauce;1 tsp powdered Stevia;salt and pepper to taste",4 g,Hearts Of Palm And Avocado Salad,https://www.bodybuilding.com/recipes/hearts-of-palm-and-avocado-salad
319,42 g,"If you're in the habit of having a bowl of Greek yogurt as your mid-afternoon snack or your pre-bed meal, consider having it for breakfast instead.",5 g,seriously-let-go-of-that-eggo_06-header-960x540.jpg,"2 cup nonfat plain Greek yogurt;2 small apple, red;½ tsp cinnamon;1 tbsp splenda;1 pinch table salt;4 tbsp ground flaxseed",26 g,Greek Yogurt With Apple And Flaxseeds,https://www.bodybuilding.com/recipes/greek-yogurt-with-apple-and-flaxseeds
348,17 g,"If fish doesn't float your boat, consider grilled chicken breast and quinoa. Quinoa is hearty, and contains more protein than most other grains. It's also rife with fiber, a necessary nutrient for long-term health support.",11 g,seriously-let-go-of-that-eggo_04-header-960x540.jpg,"1 cup quinoa, cooked;2 cup chicken bone broth;2 tbsp olive oil;1 tsp garlic, pureed;1 whole onion, finely diced;2 piece chicken breast;1 whole zucchini, sliced;1 whole green pepper, chopped;2 whole stalk celery, finely diced;1 tbsp onion flakes",46 g,Quinoa with Chicken,https://www.bodybuilding.com/recipes/quinoa-with-chicken
112,4 g,"You've got to love tuna! It's versatile, clean, easy to find, and, well, it's pretty cheap. Many people eat it like you do, on top of or alongside a salad, though tuna is also popular on sandwiches. Of course, if you get creative, there are many other ways you can enjoy it!",7 g,ask-the-protein-powder-chef-whats-your-favorite-tuna-recipe_a-header-960x540.jpg,"¼ cup(s) unflavored whey protein powder;1 whole egg;1 large egg whites;2 tbsp psyllium husk powder;¼ cup buckwheat flour;¼ cup whole milk;1 tsp table salt;½ tbsp, ground tarragon",8 g,Tuna Protein Wraps,https://www.bodybuilding.com/recipes/tuna-protein-wraps
190,5 g,"IFBB Bikini pro Nicole Moneer eats clean all year so she never has to diet hard before a show. Try this easy, delicious, and nutritious meal!",13 g,tomato-basil-omelet-header-960x540.jpg,3 whole egg;10 cherry tomatoes;⅛ cup fresh basil leaves;salt and pepper to taste;¼ tbsp (1/8 cup) kelp,14 g,Tomato Basil Omelet,https://www.bodybuilding.com/recipes/tomato-basil-omelet
85,11 g,"What the kale? Just when you thought your diet regimen couldn't get any better, we went and added some green to your sweet potato. Similar to spinach, kale contains plenty of copper and iron as well as vitamins A, C, K, folic acid, calcium, and potassium. Tuck Edna's potato salad recipe back in the cookbook where it belongs and make the switch to sweet.",4 g,roasted-sweet-potato-kale-salad-header-960x540.jpg,"1 sweet potato, peeled;½ onion, sliced;1 cup purple kale;1 tbsp garlic, minced;1 tbsp olive oil;1 tbsp balsamic vinegar;salt and pepper to taste",2 g,Roasted Sweet Potato And Kale Salad,https://www.bodybuilding.com/recipes/roasted-sweet-potato-and-kale-salad
374,8 g,"If you're looking at a demanding day of butt-kicking, the nutrients in salmon can be your kung-fu power. The thiamine in the sunflower seeds will also enhance memory and cognitive function. The protein and healthy fats in fish can also help to keep your energy levels stable because they help maintain blood glucose levels already within a normal range.",25 g,spinach-sunflower-seed-salmon-salad-header-960x540.jpg,"8 oz salmon fillet;1 tbsp olive oil;2 whole green onion, chopped;1 tbsp parsley, dried;1 cup baby spinach;2 tbsp sunflower seeds;1 tbsp apple cider vinegar;1 tbsp olive oil;½ tbsp splenda;1 dash black pepper;⅛ tsp, ground oregano;1 pinch table salt",28 g,"Spinach, Sunflower Seeds And Salmon Salad",https://www.bodybuilding.com/recipes/spinach-sunflower-seeds-and-salmon-salad
117,3 g,"Breakfast is the most important meal of the day, so make it count! Serve up a heap of protein first thing in the morning to fuel your day.",5 g,7-delicious-high-protein-meals_08-header-960x540.jpg,9 large egg whites;3 whole egg;1 link 3 oz italian sweet sausage;3 oz salsa,15 g,Protein Scramble,https://www.bodybuilding.com/recipes/protein-scramble
192,1 g,"Chicken day in and day out can become, well, boring. Change up your meal plan while still meeting your macros with this savory tuna recipe.",11 g,7-delicious-high-protein-meals_10-header-960x540.jpg,"6 oz albacore tuna;1 tbsp avocado oil;1 tsp, ground pepper;1 tbsp sun-dried tomatoes",23 g,Cooked Albacore Patties,https://www.bodybuilding.com/recipes/cooked-albacore-patties
482,43 g,"Forgo that bowl of cold cereal and combat hunger the right way with a stack of fluffy, protein-powered flapjacks.",22 g,7-delicious-high-protein-meals_06-header-960x540.jpg,2 scoop(s) musclePharm Combat Powder;¼ cup steel-cut oats;2 cup unsweetened coconut milk;1 tbsp cinnamon;1 tsp baking powder;2 large egg whites,27 g,Combat Pancakes,https://www.bodybuilding.com/recipes/combat-pancakes
398,50 g,"Cookies are delicious, but, in addition to their fat content falling outside of the ""healthy"" zone, they require cooking. Instant gratification flies out the window. But wait, there's an easy solution. Drop the store log for this healthy, better-for- you, no-bake version.",10 g,7-delicious-high-protein-meals_04-header-960x540.jpg,8 scoop(s) musclePharm Combat Powder;3 cup steel-cut oats;¼ box sugar-free fat-free chocolate pudding powder;2 cup unsweetened coconut milk,27 g,Combat No-Bake Cookie Bars,https://www.bodybuilding.com/recipes/combat-no-bake-cookie-bars
535,40 g,"There's no denying the popularity of the almighty peppermint. From patties and candy canes to coffee and schnapps, it's a clear crowd favorite. Harness this well-loved flavor profile in the form of a good-for-you shake with this sweet recipe.",23 g,7-delicious-high-protein-meals_12-header-960x540.jpg,2 scoop(s) musclePharm Combat Powder;1 cup unsweetened coconut milk;⅛ tsp nutmeg;1 cup water;2 piece peppermint candy,43 g,Combat Vanilla Peppermint Shake,https://www.bodybuilding.com/recipes/combat-vanilla-peppermint-shake
